"dia","time_casa","gols_casa","gols_fora","time_fora","ano","r_timecasa","r_timefora"
"1971-10-03","sport",0,1,"fluminense",1971,,
"1971-10-03","coritiba",1,0,"atleticomg",1971,,
"1971-10-03","flamengo",0,0,"vasco",1971,,
"1971-10-03","cruzeiro",0,1,"santos",1971,,
"1971-10-03","palmeiras",3,1,"botafogo",1971,,
"1971-10-03","bahia",2,0,"santacruz",1971,,
"1971-10-03","gremio",1,0,"portuguesa",1971,,
"1971-10-03","ceara",0,1,"saopaulo",1971,,
"1971-10-06","saopaulo",1,1,"internacional",1971,,
"1971-10-06","santacruz",1,1,"gremio",1971,,
"1971-10-06","vasco",2,0,"americamg",1971,,
"1971-10-09","botafogo",1,0,"corinthians",1971,,
"1971-10-09","americamg",0,0,"santacruz",1971,,
"1971-10-10","fluminense",1,0,"flamengo",1971,,
"1971-10-10","gremio",1,0,"vasco",1971,,
"1971-10-10","ceara",0,0,"santos",1971,,
"1971-10-10","bahia",1,1,"internacional",1971,,
"1971-10-10","atleticomg",1,1,"cruzeiro",1971,,
"1971-10-10","coritiba",2,1,"americarj",1971,,
"1971-10-10","saopaulo",0,1,"portuguesa",1971,,
"1971-10-10","sport",0,2,"palmeiras",1971,,
"1971-10-13","americamg",2,0,"coritiba",1971,,
"1971-10-13","flamengo",1,0,"portuguesa",1971,,
"1971-10-16","fluminense",2,0,"atleticomg",1971,,
"1971-10-16","palmeiras",0,1,"santos",1971,,
"1971-10-17","ceara",1,0,"botafogo",1971,,
"1971-10-17","saopaulo",2,0,"corinthians",1971,,
"1971-10-17","cruzeiro",5,1,"sport",1971,,
"1971-10-17","coritiba",2,0,"bahia",1971,,
"1971-10-17","vasco",2,2,"americarj",1971,,
"1971-10-17","internacional",1,0,"gremio",1971,,
"1971-10-17","santacruz",1,1,"flamengo",1971,,
"1971-10-20","sport",2,1,"coritiba",1971,,
"1971-10-20","bahia",3,1,"ceara",1971,,
"1971-10-23","saopaulo",1,1,"palmeiras",1971,,
"1971-10-23","atleticomg",5,1,"portuguesa",1971,,
"1971-10-23","botafogo",0,0,"internacional",1971,,
"1971-10-24","santos",2,0,"vasco",1971,,
"1971-10-24","cruzeiro",0,0,"americamg",1971,,
"1971-10-24","sport",1,1,"santacruz",1971,,
"1971-10-24","ceara",0,1,"americarj",1971,,
"1971-10-24","flamengo",1,3,"corinthians",1971,,
"1971-10-24","gremio",1,0,"fluminense",1971,,
"1971-10-27","portuguesa",3,1,"botafogo",1971,,
"1971-10-27","coritiba",1,0,"santos",1971,,
"1971-10-27","fluminense",0,0,"americamg",1971,,
"1971-10-30","corinthians",1,1,"santos",1971,,
"1971-10-30","santacruz",0,2,"saopaulo",1971,,
"1971-10-30","cruzeiro",2,1,"gremio",1971,,
"1971-10-30","americarj",2,0,"palmeiras",1971,,
"1971-10-31","vasco",1,0,"botafogo",1971,,
"1971-10-31","ceara",0,1,"flamengo",1971,,
"1971-10-31","atleticomg",3,1,"internacional",1971,,
"1971-10-31","bahia",0,0,"fluminense",1971,,
"1971-10-31","sport",0,0,"portuguesa",1971,,
"1971-11-06","saopaulo",2,1,"fluminense",1971,,
"1971-11-06","internacional",2,1,"sport",1971,,
"1971-11-06","vasco",0,0,"atleticomg",1971,,
"1971-11-07","santacruz",0,1,"santos",1971,,
"1971-11-07","gremio",0,1,"palmeiras",1971,,
"1971-11-07","corinthians",3,1,"americarj",1971,,
"1971-11-07","flamengo",0,0,"cruzeiro",1971,,
"1971-11-07","coritiba",0,0,"botafogo",1971,,
"1971-11-07","bahia",1,0,"portuguesa",1971,,
"1971-11-07","americamg",2,0,"ceara",1971,,
"1971-11-10","palmeiras",0,0,"bahia",1971,,
"1971-11-13","fluminense",3,1,"santos",1971,,
"1971-11-13","portuguesa",1,0,"americamg",1971,,
"1971-11-14","atleticomg",0,0,"palmeiras",1971,,
"1971-11-14","botafogo",2,2,"cruzeiro",1971,,
"1971-11-14","bahia",1,0,"vasco",1971,,
"1971-11-14","coritiba",2,0,"saopaulo",1971,,
"1971-11-14","santacruz",0,0,"americarj",1971,,
"1971-11-14","internacional",3,0,"flamengo",1971,,
"1971-11-14","corinthians",1,1,"gremio",1971,,
"1971-11-14","ceara",1,2,"sport",1971,,
"1971-11-20","internacional",1,1,"santos",1971,,
"1971-11-20","palmeiras",1,1,"coritiba",1971,,
"1971-11-21","saopaulo",1,0,"corinthians",1971,,
"1971-11-21","americarj",0,0,"cruzeiro",1971,,
"1971-11-21","gremio",1,1,"botafogo",1971,,
"1971-11-21","atleticomg",2,1,"vasco",1971,,
"1971-11-24","corinthians",1,0,"americarj",1971,,
"1971-11-24","cruzeiro",0,2,"saopaulo",1971,,
"1971-11-24","coritiba",0,1,"gremio",1971,,
"1971-11-24","botafogo",3,3,"palmeiras",1971,,
"1971-11-25","vasco",2,0,"internacional",1971,,
"1971-11-25","santos",2,1,"atleticomg",1971,,
"1971-11-27","saopaulo",1,0,"americarj",1971,,
