"rep..2000...length.nos..","A","B","C","D","data"
2002,"Paraná","3","1","Juventude","31/10/2002"
2002,"Corinthians","0","2","Fluminense","02/11/2002"
2002,"Paysandu","2","1","Figueirense","02/11/2002"
2002,"Internacional","0","1","Coritiba","02/11/2002"
2002,"Vasco","1","0","Palmeiras","02/11/2002"
2002,"Flamengo","2","0","Botafogo","02/11/2002"
2002,"Cruzeiro","3","2","Grêmio","02/11/2002"
2002,"Atlético-PR","2","2","Atlético-MG","02/11/2002"
2002,"Goiás","4","0","Paraná","02/11/2002"
2002,"Vitória","1","0","Bahia","02/11/2002"
2002,"ponte-preta","0","0","Portuguesa","02/11/2002"
2002,"sao-caetano","2","1","Juventude","02/11/2002"
2002,"Guarani","0","2","Santos","02/11/2002"
2002,"Fluminense","0","3","Palmeiras","06/11/2002"
2002,"sao-paulo","5","3","Vasco","06/11/2002"
2002,"Atlético-PR","2","1","Paysandu","06/11/2002"
2002,"Vitória","3","1","Guarani","06/11/2002"
2002,"sao-caetano","1","1","Internacional","06/11/2002"
2002,"Gama","2","3","Cruzeiro","06/11/2002"
2002,"Figueirense","0","2","Grêmio","06/11/2002"
2002,"Corinthians","5","2","Portuguesa","07/11/2002"
2002,"Paraná","2","0","Botafogo","07/11/2002"
2002,"Atlético-MG","3","1","Coritiba","07/11/2002"
2002,"Guarani","1","1","Bahia","10/11/2002"
2002,"Goiás","3","1","Atlético-MG","10/11/2002"
2002,"Juventude","3","2","Internacional","10/11/2002"
2002,"Coritiba","2","0","Paraná","10/11/2002"
2002,"Portuguesa","1","2","Flamengo","10/11/2002"
2002,"Botafogo","2","1","Corinthians","10/11/2002"
2002,"Vasco","4","1","Vitória","09/11/2002"
2002,"Grêmio","2","2","sao-caetano","09/11/2002"
2002,"Paysandu","3","2","Fluminense","09/11/2002"
2002,"Santos","1","3","ponte-preta","09/11/2002"
2002,"Cruzeiro","4","1","Atlético-PR","09/11/2002"
2002,"Vasco","2","0","ponte-preta","13/11/2002"
2002,"Atlético-MG","6","4","Gama","13/11/2002"
2002,"Palmeiras","1","1","Flamengo","13/11/2002"
2002,"Internacional","0","1","Cruzeiro","13/11/2002"
2002,"Coritiba","1","2","Figueirense","13/11/2002"
2002,"Bahia","0","0","Corinthians","13/11/2002"
2002,"Juventude","0","0","Paysandu","13/11/2002"
2002,"Fluminense","2","0","Portuguesa","14/11/2002"
2002,"sao-paulo","3","2","Vitória","14/11/2002"
2002,"Paraná","1","1","Grêmio","14/11/2002"
2002,"Guarani","2","0","Botafogo","14/11/2002"
2002,"Cruzeiro","2","0","Goiás","17/11/2002"
2002,"Botafogo","0","1","sao-paulo","17/11/2002"
2002,"Corinthians","1","1","Vasco","17/11/2002"
2002,"Portuguesa","2","4","Bahia","17/11/2002"
2002,"Flamengo","2","2","Guarani","17/11/2002"
2002,"Grêmio","1","0","Atlético-MG","17/11/2002"
2002,"Atlético-PR","4","0","Juventude","17/11/2002"
2002,"Paysandu","0","2","Internacional","17/11/2002"
2002,"Vitória","4","3","Palmeiras","17/11/2002"
2002,"ponte-preta","2","3","Fluminense","17/11/2002"
2002,"Figueirense","2","2","Paraná","17/11/2002"
2002,"Gama","4","0","Coritiba","17/11/2002"
2002,"sao-caetano","3","2","Santos","17/11/2002"
"2001","Portuguesa","0","1","Goiás","01/08/2001"
"2001","Botafogo","1","1","América-MG","01/08/01"
"2001","Guarani","1","3","Palmeiras","01/08/01"
"2001","Paraná","1","0","Cruzeiro","01/08/01"
"2001","Internacional","0","2","Juventude","01/08/01"
"2001","Sport","1","1","Fluminense","01/08/01"
"2001","Botafogo-SP","2","2","sao-paulo","01/08/01"
"2001","Gama","0","0","Vasco","01/08/01"
"2001","Bahia","5","0","sao-caetano","01/08/01"
"2001","Atlético-MG","1","1","Coritiba","01/08/01"
"2001","Flamengo","0","0","ponte-preta","01/08/01"
"2001","Corinthians","2","0","Vitória","01/08/01"
"2001","Santos","1","1","santa-cruz","02/08/01"
"2001","Atlético-PR","2","0","Grmio","02/08/01"
"2001","Palmeiras","2","1","Bahia","04/08/2001"
"2001","América-MG","0","0","Portuguesa","04/08/01"
"2001","Juventude","1","4","Atlético-MG","04/08/01"
"2001","Fluminense","2","0","Botafogo-SP","04/08/01"
"2001","Cruzeiro","1","2","Atlético-PR","05/08/01"
"2001","Vasco","7","1","Guarani","05/08/2001"
"2001","sao-paulo","0","0","Gama","05/08/2001"
"2001","Grmio","2","1","Paraná","05/08/01"
"2001","Goiás","2","0","Flamengo","05/08/01"
"2001","Coritiba","3","2","Internacional","05/08/01"
"2001","ponte-preta","2","2","Corinthians","05/08/01"
"2001","sao-caetano","2","0","Sport","05/08/01"
"2001","Vitória","1","1","Santos","05/08/01"
"2001","santa-cruz","0","4","Botafogo","05/08/01"
"2001","Flamengo","0","1","Paraná","08/08/2001"
"2001","Cruzeiro","0","0","ponte-preta","08/08/01"
"2001","Vitória","2","1","sao-paulo","08/08/01"
"2001","Corinthians","3","2","Botafogo-SP","08/08/01"
"2001","Grmio","0","0","Goiás","08/08/01"
"2001","santa-cruz","1","2","Internacional","08/08/01"
"2001","sao-caetano","0","0","Atlético-PR","08/08/01"
"2001","Gama","1","1","Santos","08/08/01"
"2001","Coritiba","1","0","Vasco","08/08/01"
"2001","Juventude","0","0","Palmeiras","08/08/01"
"2001","Guarani","1","1","Fluminense","09/08/01"
"2001","Botafogo","3","2","Bahia","09/08/01"
"2001","América-MG","0","1","Atlético-MG","09/08/01"
"2001","Portuguesa","2","1","Sport","09/08/01"
"2001","Vasco","1","1","Juventude","11/08/2001"
"2001","sao-paulo","3","1","santa-cruz","11/08/2001"
"2001","Botafogo-SP","1","4","Cruzeiro","11/08/01"
"2001","Atlético-PR","4","0","Flamengo","11/08/01"
"2001","Palmeiras","3","1","América-MG","12/08/2001"
"2001","Santos","2","0","Coritiba","12/08/01"
"2001","Paraná","3","1","Corinthians","12/08/01"
"2001","ponte-preta","3","1","Botafogo","12/08/01"
"2001","Internacional","2","0","Gama","12/08/01"
"2001","Fluminense","1","1","Vitória","12/08/01"
"2001","Goiás","0","0","sao-caetano","12/08/01"
"2001","Atlético-MG","3","0","Guarani","12/08/01"
"2001","Bahia","2","1","Portuguesa","12/08/01"
"2001","Sport","2","1","Grmio","12/08/01"
"2001","Corinthians","0","0","Juventude","15/08/2001"
"2001","Cruzeiro","0","3","América-MG","15/08/2001"
"2001","Flamengo","2","1","Sport","15/08/2001"
"2001","Paraná","1","2","ponte-preta","15/08/2001"
"2001","sao-caetano","1","1","Fluminense","15/08/2001"
"2001","Vitória","1","0","Vasco","15/08/2001"
"2001","santa-cruz","3","2","Palmeiras","15/08/2001"
"2001","Guarani","1","2","sao-paulo","16/08/2001"
"2001","Portuguesa","1","0","Coritiba","16/08/2001"
"2001","Botafogo","0","1","Goiás","16/08/2001"
"2001","Internacional","2","0","Bahia","16/08/2001"
"2001","Atlético-PR","1","0","Atlético-MG","16/08/2001"
"2001","Gama","2","1","Grmio","16/08/2001"
"2001","Botafogo-SP","0","1","Santos","16/08/2001"
"2001","Palmeiras","3","1","Paraná","18/08/2001"
"2001","Vasco","1","1","santa-cruz","18/08/2001"
"2001","América-MG","0","1","sao-caetano","18/08/2001"
"2001","Atlético-MG","2","0","Botafogo-SP","19/08/2001"
"2001","sao-paulo","2","1","Atlético-PR","19/08/2001"
"2001","Juventude","1","0","Guarani","19/08/2001"
"2001","Bahia","0","2","Flamengo","19/08/2001"
"2001","Sport","2","1","Corinthians","19/08/2001"
"2001","Santos","0","0","Botafogo","19/08/2001"
"2001","ponte-preta","2","1","Portuguesa","19/08/2001"
"2001","Fluminense","4","3","Gama","19/08/2001"
"2001","Coritiba","3","2","Cruzeiro","19/08/2001"
"2001","Goiás","0","1","Internacional","19/08/2001"
"2001","Grmio","0","0","Vitória","19/08/2001"
"2001","Palmeiras","3","2","Goiás","25/08/2001"
"2001","Paraná","0","1","Portuguesa","25/08/2001"
"2001","Fluminense","3","2","santa-cruz","25/08/2001"
"2001","Vasco","4","0","Atlético-PR","26/08/2001"
"2001","sao-paulo","4","0","ponte-preta","26/08/2001"
"2001","Guarani","2","2","Internacional","26/08/2001"
"2001","Bahia","1","0","Corinthians","26/08/2001"
"2001","Botafogo-SP","1","0","Flamengo","26/08/2001"
"2001","Coritiba","1","1","sao-caetano","26/08/2001"
"2001","Grmio","3","1","América-MG","26/08/2001"
"2001","Gama","0","0","Botafogo","26/08/2001"
"2001","Santos","2","2","Juventude","26/08/2001"
"2001","Atlético-MG","3","0","Vitória","26/08/2001"
"2001","Sport","0","1","Cruzeiro","26/08/2001"
"2001","Corinthians","2","2","Gama","29/08/2001"
"2001","Internacional","2","0","Botafogo-SP","29/08/2001"
"2001","Atlético-PR","1","1","Santos","29/08/2001"
"2001","América-MG","1","1","Vasco","29/08/2001"
"2001","santa-cruz","1","1","Atlético-MG","29/08/2001"
"2001","Botafogo","3","1","Sport","29/08/2001"
"2001","ponte-preta","3","2","Grmio","29/08/2001"
"2001","sao-caetano","4","1","Paraná","29/08/2001"
"2001","Vitória","1","3","Palmeiras","29/08/2001"
"2001","Goiás","2","0","Fluminense","29/08/2001"
"2001","Juventude","3","3","sao-paulo","29/08/2001"
"2001","Flamengo","0","1","Coritiba","30/08/2001"
"2001","Portuguesa","1","2","Guarani","30/08/2001"
"2001","Cruzeiro","1","1","Bahia","30/08/2001"
"2001","Palmeiras","2","0","Atlético-PR","01/09/01"
"2001","Paraná","3","0","Internacional","01/09/01"
"2001","Atlético-MG","3","0","Sport","01/09/01"
"2001","Fluminense","2","1","Juventude","01/09/01"
"2001","Vasco","2","2","Botafogo-SP","02/09/01"
"2001","sao-paulo","0","1","Bahia","02/09/01"
"2001","Santos","1","2","Goiás","02/09/01"
"2001","Gama","0","1","Portuguesa","02/09/01"
"2001","santa-cruz","2","1","Flamengo","02/09/01"
"2001","Coritiba","2","3","Botafogo","02/09/01"
"2001","Grmio","1","0","Guarani","02/09/01"
"2001","ponte-preta","3","6","sao-caetano","02/09/01"
"2001","América-MG","4","4","Corinthians","02/09/01"
"2001","Vitória","2","2","Cruzeiro","02/09/01"
"2001","Corinthians","3","2","Coritiba","08/09/01"
"2001","Cruzeiro","4","1","santa-cruz","08/09/01"
"2001","Botafogo","0","2","Paraná","08/09/01"
"2001","Guarani","1","1","Santos","09/09/01"
"2001","Juventude","1","2","Grmio","09/09/01"
"2001","Atlético-PR","1","2","Fluminense","09/09/01"
"2001","Goiás","2","3","sao-paulo","09/09/01"
"2001","Portuguesa","3","2","Vitória","09/09/01"
"2001","sao-caetano","3","2","Gama","09/09/01"
"2001","Sport","3","3","Vasco","09/09/01"
"2001","Botafogo-SP","0","1","Palmeiras","09/09/01"
"2001","Internacional","2","2","ponte-preta","09/09/01"
"2001","Flamengo","1","1","América-MG","09/09/01"
"2001","Bahia","4","0","Atlético-MG","09/09/01"
"2001","sao-paulo","1","3","Paraná","15/09/2001"
"2001","Guarani","2","0","Cruzeiro","15/09/2001"
"2001","Fluminense","2","0","ponte-preta","15/09/2001"
"2001","Vitória","2","0","Internacional","15/09/2001"
"2001","Vasco","0","1","Bahia","16/09/2001"
"2001","Palmeiras","3","0","Sport","16/09/2001"
"2001","Santos","3","0","América-MG","16/09/2001"
"2001","Goiás","2","3","Corinthians","16/09/2001"
"2001","Botafogo-SP","0","2","Botafogo","16/09/2001"
"2001","Atlético-PR","3","1","Portuguesa","16/09/2001"
"2001","Grmio","2","0","Coritiba","16/09/2001"
"2001","Juventude","1","1","Flamengo","16/09/2001"
"2001","Atlético-MG","2","1","Gama","16/09/2001"
"2001","santa-cruz","0","1","sao-caetano","16/09/2001"
"2001","Botafogo","0","2","Guarani","19/09/2001"
"2001","sao-caetano","0","1","Botafogo-SP","19/09/2001"
"2001","Cruzeiro","1","2","Goiás","19/09/2001"
"2001","Internacional","4","4","Atlético-PR","19/09/2001"
"2001","Sport","0","2","Santos","19/09/2001"
"2001","ponte-preta","4","3","Atlético-MG","19/09/2001"
"2001","Corinthians","2","2","santa-cruz","19/09/2001"
"2001","Paraná","2","0","Vasco","19/09/2001"
"2001","Gama","1","1","Palmeiras","19/09/2001"
"2001","Portuguesa","1","2","Juventude","20/09/2001"
"2001","Bahia","1","1","Grmio","20/09/2001"
"2001","Flamengo","1","1","Vitória","20/09/2001"
"2001","Coritiba","0","1","sao-paulo","20/09/2001"
"2001","América-MG","1","0","Fluminense","20/09/2001"
"2001","Vasco","2","1","Goiás","22/09/2001"
"2001","Palmeiras","0","2","ponte-preta","22/09/2001"
"2001","Gama","1","1","Cruzeiro","22/09/2001"
"2001","sao-paulo","4","1","América-MG","23/09/2001"
"2001","Botafogo-SP","1","2","Grmio","23/09/2001"
"2001","Juventude","0","3","sao-caetano","23/09/2001"
"2001","Santos","5","1","Bahia","23/09/2001"
"2001","Fluminense","3","1","Coritiba","23/09/2001"
"2001","Internacional","2","0","Sport","23/09/2001"
"2001","Atlético-PR","3","2","Corinthians","23/09/2001"
"2001","Guarani","1","3","Flamengo","23/09/2001"
"2001","Vitória","3","1","Botafogo","23/09/2001"
"2001","Atlético-MG","4","0","Paraná","23/09/2001"
"2001","santa-cruz","0","0","Portuguesa","23/09/2001"
"2001","Grmio","1","0","santa-cruz","18/10/2001"
"2001","Paraná","1","0","Santos","29/09/2001"
"2001","América-MG","0","2","Internacional","29/09/2001"
"2001","Portuguesa","1","0","Botafogo-SP","29/09/2001"
"2001","Botafogo","1","3","Atlético-PR","29/09/2001"
"2001","Corinthians","0","3","Guarani","30/09/2001"
"2001","Sport","1","0","sao-paulo","30/09/2001"
"2001","ponte-preta","2","2","Vasco","30/09/2001"
"2001","sao-caetano","0","2","Vitória","30/09/2001"
"2001","Cruzeiro","3","0","Juventude","30/09/2001"
"2001","Flamengo","1","2","Gama","30/09/2001"
"2001","Coritiba","4","1","Palmeiras","30/09/2001"
"2001","Bahia","1","1","Fluminense","30/09/2001"
"2001","Goiás","1","2","Atlético-MG","30/09/2001"
"2001","Paraná","1","2","América-MG","02/10/01"
"2001","Portuguesa","3","0","Internacional","02/10/01"
"2001","Corinthians","4","2","Palmeiras","03/10/01"
"2001","Vasco","3","0","Cruzeiro","03/10/01"
"2001","Vitória","1","0","Sport","03/10/01"
"2001","Botafogo-SP","1","1","Guarani","03/10/01"
"2001","Atlético-MG","4","0","Botafogo","03/10/01"
"2001","Coritiba","1","1","Juventude","03/10/01"
"2001","santa-cruz","1","5","Atlético-PR","03/10/01"
"2001","ponte-preta","1","1","Gama","03/10/01"
"2001","Grmio","1","1","Fluminense","03/10/01"
"2001","Santos","1","0","sao-paulo","03/10/01"
"2001","Goiás","3","0","Bahia","03/10/01"
"2001","sao-caetano","1","0","Palmeiras","06/09/01"
"2001","Flamengo","2","0","Santos","06/09/01"
"2001","Guarani","1","0","Goiás","06/10/01"
"2001","Juventude","0","2","Botafogo-SP","06/10/01"
"2001","sao-paulo","0","1","Palmeiras","06/10/01"
"2001","Vasco","5","1","Flamengo","06/10/01"
"2001","Gama","1","1","Vitória","06/10/01"
"2001","Botafogo","1","2","Fluminense","06/10/01"
"2001","Cruzeiro","2","2","Atlético-MG","06/10/01"
"2001","América-MG","1","4","ponte-preta","06/10/01"
"2001","Atlético-PR","1","1","Paraná","06/10/01"
"2001","Santos","1","2","sao-caetano","06/10/01"
"2001","Corinthians","3","1","Portuguesa","06/10/01"
"2001","Grmio","1","0","Internacional","06/10/01"
"2001","Sport","1","1","Coritiba","06/10/01"
"2001","Bahia","2","1","santa-cruz","06/10/00"
"2001","Palmeiras","2","1","Santos","10/10/01"
"2001","Botafogo","2","2","Flamengo","10/10/01"
"2001","Juventude","2","2","Bahia","10/10/01"
"2001","Coritiba","0","0","Botafogo-SP","10/10/01"
"2001","santa-cruz","3","2","Paraná","10/10/01"
"2001","sao-caetano","2","0","Portuguesa","10/10/01"
"2001","ponte-preta","1","5","Atlético-PR","10/10/01"
"2001","Goiás","2","3","Sport","10/10/01"
"2001","Vitória","4","1","Guarani","10/10/01"
"2001","Internacional","2","0","Vasco","10/10/01"
"2001","Cruzeiro","1","0","Corinthians","10/10/01"
"2001","sao-paulo","1","1","Grmio","11/10/01"
"2001","Fluminense","3","2","Atlético-MG","11/10/01"
"2001","América-MG","2","0","Gama","09/10/01"
"2001","Paraná","2","1","Vitória","13/10/2001"
"2001","Vasco","3","1","Botafogo","13/10/2001"
"2001","Portuguesa","2","0","Palmeiras","13/10/2001"
"2001","Gama","2","0","santa-cruz","13/10/2001"
"2001","Fluminense","1","1","sao-paulo","13/10/2001"
"2001","sao-caetano","3","1","Internacional","13/10/2001"
"2001","Corinthians","1","2","Flamengo","13/10/2001"
"2001","Guarani","1","0","Coritiba","13/10/2001"
"2001","Grmio","2","0","Cruzeiro","13/10/2001"
"2001","Atlético-MG","0","1","Santos","13/10/2001"
"2001","Atlético-PR","3","2","América-MG","13/10/2001"
"2001","Sport","1","1","Juventude","13/10/2001"
"2001","Bahia","3","2","ponte-preta","13/10/2001"
"2001","Botafogo-SP","0","0","Goiás","13/10/2001"
"2001","América-MG","2","2","Botafogo-SP","20/10/2001"
"2001","Vasco","1","2","sao-caetano","20/10/2001"
"2001","sao-paulo","1","0","Portuguesa","21/10/2001"
"2001","Corinthians","1","2","Grmio","21/10/2001"
"2001","Flamengo","1","2","Atlético-MG","21/10/2001"
"2001","Cruzeiro","1","0","Fluminense","21/10/2001"
"2001","Juventude","1","1","Paraná","21/10/2001"
"2001","ponte-preta","1","1","Guarani","21/10/2001"
"2001","Internacional","2","2","Botafogo","21/10/2001"
"2001","Sport","1","2","santa-cruz","21/10/2001"
"2001","Vitória","1","1","Bahia","21/10/2001"
"2001","Goiás","2","0","Gama","21/10/2001"
"2001","Coritiba","0","0","Atlético-PR","21/10/2001"
"2001","sao-paulo","0","0","sao-caetano","27/10/2001"
"2001","Paraná","0","1","Sport","27/10/2001"
"2001","Botafogo","3","0","Cruzeiro","28/10/2001"
"2001","Palmeiras","1","2","Internacional","28/10/2001"
"2001","Grmio","2","0","Flamengo","28/10/2001"
"2001","Santos","0","2","Corinthians","28/10/2001"
"2001","Guarani","2","1","Bahia","28/10/2001"
"2001","Atlético-MG","1","0","Portuguesa","28/10/2001"
"2001","Vasco","2","2","Fluminense","28/10/2001"
"2001","Vitória","1","0","América-MG","28/10/2001"
"2001","Coritiba","1","0","Gama","28/10/2001"
"2001","Goiás","2","1","Juventude","28/10/2001"
"2001","Botafogo-SP","0","2","Atlético-PR","28/10/2001"
"2001","santa-cruz","1","3","ponte-preta","28/10/2001"
"2001","sao-paulo","1","1","Corinthians","03/11/01"
"2001","Gama","3","2","Paraná","03/11/01"
"2001","América-MG","1","2","Coritiba","03/11/01"
"2001","Flamengo","0","1","Fluminense","03/11/01"
"2001","Juventude","2","0","santa-cruz","04/11/01"
"2001","Portuguesa","5","4","Vasco","04/11/01"
"2001","Internacional","1","0","Atlético-MG","04/11/01"
"2001","Santos","4","2","Grmio","04/11/01"
"2001","Botafogo","3","1","Palmeiras","04/11/01"
"2001","Cruzeiro","1","0","sao-caetano","04/11/01"
"2001","Atlético-PR","2","1","Goiás","04/11/01"
"2001","Sport","0","1","Guarani","04/11/01"
"2001","ponte-preta","5","2","Vitória","04/11/01"
"2001","Bahia","1","0","Botafogo-SP","04/11/01"
"2001","Botafogo","1","3","Grmio","07/11/01"
"2001","Palmeiras","2","6","Fluminense","07/11/01"
"2001","Gama","5","0","Guarani","07/11/01"
"2001","América-MG","3","1","Sport","07/11/01"
"2001","Vitória","0","0","Juventude","07/11/01"
"2001","Atlético-PR","6","3","Bahia","07/11/01"
"2001","Internacional","1","4","sao-paulo","07/11/01"
"2001","Vasco","1","0","Corinthians","08/11/01"
"2001","Paraná","1","1","Coritiba","08/11/01"
"2001","sao-caetano","5","2","Atlético-MG","08/11/01"
"2001","Portuguesa","0","0","Santos","08/11/01"
"2001","santa-cruz","3","2","Goiás","08/11/01"
"2001","ponte-preta","3","3","Botafogo-SP","08/11/01"
"2001","Cruzeiro","0","1","Flamengo","08/11/01"
"2001","sao-paulo","3","1","Botafogo","10/11/01"
"2001","Juventude","2","0","Atlético-PR","10/11/01"
"2001","Fluminense","0","1","Internacional","10/11/01"
"2001","Sport","1","2","Gama","10/11/01"
"2001","Santos","4","2","Cruzeiro","11/11/01"
"2001","Corinthians","0","1","sao-caetano","11/11/01"
"2001","Grmio","3","0","Palmeiras","11/11/01"
"2001","Guarani","0","2","América-MG","11/11/01"
"2001","Atlético-MG","2","1","Vasco","11/11/01"
"2001","Flamengo","0","2","Portuguesa","11/11/01"
"2001","Coritiba","2","0","Vitória","11/11/01"
"2001","Bahia","3","0","Paraná","11/11/01"
"2001","Goiás","2","1","ponte-preta","11/11/01"
"2001","Botafogo-SP","1","0","santa-cruz","11/11/01"
"2001","Atlético-PR","2","1","Sport","13/11/2001"
"2001","Portuguesa","1","3","Cruzeiro","15/11/2001"
"2001","Botafogo","2","4","Corinthians","15/11/2001"
"2001","Vasco","2","0","Grmio","15/11/2001"
"2001","Paraná","0","1","Fluminense","15/11/2001"
"2001","Atlético-MG","2","1","Palmeiras","15/11/2001"
"2001","sao-paulo","3","1","Flamengo","15/11/2001"
"2001","Internacional","3","0","Santos","15/11/2001"
"2001","santa-cruz","2","1","América-MG","15/11/2001"
"2001","Bahia","2","1","Gama","15/11/2001"
"2001","ponte-preta","1","0","Juventude","15/11/2001"
"2001","sao-caetano","2","0","Guarani","15/11/2001"
"2001","Goiás","2","1","Coritiba","15/11/2001"
"2001","Botafogo-SP","2","0","Vitória","15/11/2001"
"2001","Fluminense","0","0","Portuguesa","18/11/2001"
"2001","Flamengo","1","0","Internacional","18/11/2001"
"2001","Palmeiras","1","3","Vasco","18/11/2001"
"2001","Corinthians","2","2","Atlético-MG","18/11/2001"
"2001","Cruzeiro","1","4","sao-paulo","18/11/2001"
"2001","América-MG","1","2","Bahia","18/11/2001"
"2001","Juventude","1","3","Botafogo","18/11/2001"
"2001","Guarani","1","0","Paraná","18/11/2001"
"2001","Gama","4","1","Atlético-PR","18/11/2001"
"2001","Santos","1","2","ponte-preta","18/11/2001"
"2001","Grmio","1","2","sao-caetano","18/11/2001"
"2001","Coritiba","1","0","santa-cruz","18/11/2001"
"2001","Sport","1","2","Botafogo-SP","18/11/2001"
"2001","Vitória","1","0","Goiás","18/11/2001"
"2001","Portuguesa","2","1","Botafogo","24/11/2001"
"2001","Bahia","1","1","Coritiba","24/11/2001"
"2001","Fluminense","2","1","Santos","24/11/2001"
"2001","Vasco","7","1","sao-paulo","25/11/2001"
"2001","Palmeiras","2","1","Cruzeiro","25/11/2001"
"2001","Internacional","0","2","Corinthians","25/11/2001"
"2001","sao-caetano","2","0","Flamengo","25/11/2001"
"2001","Juventude","2","1","Gama","25/11/2001"
"2001","Atlético-PR","2","2","Guarani","25/11/2001"
"2001","santa-cruz","1","1","Vitória","25/11/2001"
"2001","ponte-preta","2","1","Sport","25/11/2001"
"2001","Botafogo-SP","0","2","Paraná","25/11/2001"
"2001","Goiás","3","0","América-MG","25/11/2001"
"2001","Atlético-MG","2","0","Grmio","25/11/2001"
"2001","Botafogo","2","4","sao-caetano","01/12/01"
"2001","Paraná","3","1","Goiás","02/12/01"
"2001","Corinthians","1","2","Fluminense","02/12/01"
"2001","sao-paulo","3","0","Atlético-MG","02/12/01"
"2001","Cruzeiro","4","2","Internacional","02/12/01"
"2001","América-MG","1","1","Juventude","02/12/01"
"2001","Coritiba","1","2","ponte-preta","02/12/01"
"2001","Flamengo","2","0","Palmeiras","02/12/01"
"2001","Grmio","3","1","Portuguesa","02/12/01"
"2001","Sport","0","1","Bahia","02/12/01"
"2001","Vitória","2","4","Atlético-PR","02/12/01"
"2001","Guarani","1","2","santa-cruz","02/12/01"
"2001","Gama","5","0","Botafogo-SP","02/12/01"
"2001","Santos","2","2","Vasco","02/12/01"
